HOURS,MON,TUE,WED,THU,FRI,SAT,SUN
0,111,99,90,96,165,162,189
1,72,93,54,93,99,150,87
2,30,30,42,36,45,60,99
3,36,15,27,21,21,42,63
4,36,18,12,30,27,45,36
5,12,3,6,18,30,21,75
6,12,6,3,15,30,24,72
7,9,18,18,12,18,21,33
8,51,36,48,39,72,36,57
9,120,138,114,129,150,105,60
10,147,198,177,171,183,111,57
11,156,138,216,159,249,162,117
12,315,267,327,366,375,357,348
13,552,519,558,507,636,735,759
14,498,495,513,537,624,849,981
15,345,393,297,333,354,510,657
16,219,267,255,225,324,402,414
17,240,225,219,201,273,306,417
18,219,189,174,237,249,270,375
19,384,285,432,375,447,369,552
20,711,819,1143,1041,1140,951,1431
21,1110,1083,1170,1356,1602,1452,1599
22,708,690,720,786,1038,1188,948
23,216,240,231,219,426,450,375
